id,event_id,action,created_at,event_name
960,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:24:28.344446+00,STS9
961,matteo-mancuso-cervantes-other-side-2026-02-04,viewed,2026-01-17 03:24:37.924658+00,Matteo Mancuso
962,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-17 03:24:37.933935+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
963,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:24:37.968909+00,Jimkata w/ Barbara
964,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:24:40.592114+00,Chick Magnet & Nostaljazz & Slippery When Wet
965,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:24:40.592579+00,STS9
966,chmura-duffrey-at-ogden-theatre-cervantes-masterpiece-ballroom-2026-01-30,viewed,2026-01-17 03:24:40.595946+00,Chmura & Duffrey AT OGDEN THEATRE
967,sts9-cervantes-masterpiece-ballroom-2026-01-25,open_event_card,2026-01-17 03:24:41.621109+00,STS9
968,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:24:42.293715+00,STS9
969,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:24:42.304022+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
970,flamingosis-w-blockhead-pure-colors-little-mac-cervantes-masterpiece-ballroom-2026-01-31,viewed,2026-01-17 03:24:42.307697+00,"Flamingosis w/ Blockhead, Pure Colors, Little Mac"
971,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:24:43.539682+00,Chick Magnet & Nostaljazz & Slippery When Wet
972,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:24:43.548359+00,Jimkata w/ Barbara
973,amnesiacs-radiohead-tribute-rally-round-the-family-rage-against-the-machine-tribute-w-apostles-of-fire-black-sabbath-cervantes-other-side-2026-02-06,viewed,2026-01-17 03:24:43.55332+00,Amnesiacs (Radiohead Tribute) & Rally ‘Round The Family (Rage Against The Machine Tribute) w/ Apostles of Fire (Black Sabbath)
974,chmura-duffrey-at-ogden-theatre-cervantes-masterpiece-ballroom-2026-01-30,open_event_card,2026-01-17 03:24:45.710997+00,Chmura & Duffrey AT OGDEN THEATRE
975,matteo-mancuso-cervantes-other-side-2026-02-04,viewed,2026-01-17 03:24:50.301803+00,Matteo Mancuso
976,wake-up-and-live-a-bob-marley-tribute-w-a-mac-the-height-dj-selekta-razja-cervantes-other-side-2026-02-05,viewed,2026-01-17 03:24:50.301803+00,"Wake Up and Live – A Bob Marley Tribute w/ A-Mac & the Height, DJ Selekta Razja"
977,lotus-saturday-1-17-cervantes-masterpiece-ballroom-2026-01-17,viewed,2026-01-17 03:24:55.283748+00,Lotus **SATURDAY 1/17**
978,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-17 03:24:55.283936+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
979,zach-nugent-s-dead-set-w-lucas-parker-band-the-buzz-cervantes-other-side-2026-01-17,viewed,2026-01-17 03:24:55.287774+00,"Zach Nugent’s Dead Set w/ Lucas Parker Band, The Buzz"
980,zach-nugent-s-dead-set-w-lucas-parker-band-the-buzz-cervantes-other-side-2026-01-17,open_event_card,2026-01-17 03:25:19.272863+00,"Zach Nugent’s Dead Set w/ Lucas Parker Band, The Buzz"
981,zach-nugent-s-dead-set-w-lucas-parker-band-the-buzz-cervantes-other-side-2026-01-17,external_link_click,2026-01-17 03:25:27.564739+00,"Zach Nugent’s Dead Set w/ Lucas Parker Band, The Buzz"
982,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-17 03:32:59.921533+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
983,jimkata-w-barbara-cervantes-other-side-2026-01-22,viewed,2026-01-17 03:32:59.924266+00,Jimkata w/ Barbara
984,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:33:00.2279+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
985,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:33:00.815941+00,Chick Magnet & Nostaljazz & Slippery When Wet
986,amnesiacs-radiohead-tribute-rally-round-the-family-rage-against-the-machine-tribute-w-apostles-of-fire-black-sabbath-cervantes-other-side-2026-02-06,viewed,2026-01-17 03:33:00.816873+00,Amnesiacs (Radiohead Tribute) & Rally ‘Round The Family (Rage Against The Machine Tribute) w/ Apostles of Fire (Black Sabbath)
987,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-17 03:33:00.829247+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
988,pma-ft-clay-parnell-steve-molitz-allen-aucoin-ben-silver-cervantes-other-side-2026-01-24,viewed,2026-01-17 03:35:24.405278+00,"PMA (ft. Clay Parnell, Steve Molitz, Allen Aucoin) & Ben Silver"
989,kitchen-dwellers-w-silas-herman-the-tone-unit-friday-1-23-cervantes-masterpiece-ballroom-2026-01-23,viewed,2026-01-17 03:35:24.40591+00,Kitchen Dwellers w/ Silas Herman & The Tone Unit **FRIDAY 1/23**
990,great-blue-ft-peter-anspach-of-goose-w-jewel-house-and-special-guest-ruthie-bandit-dj-set-cervantes-other-side-2026-02-01,viewed,2026-01-17 03:35:24.412017+00,Great Blue ft. Peter Anspach of Goose w/ Jewel House and Special Guest Ruthie Bandit (DJ Set)
991,shift-ft-midicinal-w-catparty-phlo-philia-cervantes-other-side-2026-01-29,viewed,2026-01-17 03:36:57.910479+00,"SHIFT Ft. MIDIcinal w/ CatParty, PhLo, Philia"
992,chmura-duffrey-at-ogden-theatre-cervantes-masterpiece-ballroom-2026-01-30,viewed,2026-01-17 03:36:57.917787+00,Chmura & Duffrey AT OGDEN THEATRE
993,lotus-saturday-1-17-cervantes-masterpiece-ballroom-2026-01-17,viewed,2026-01-17 03:36:57.933765+00,Lotus **SATURDAY 1/17**
994,amnesiacs-radiohead-tribute-rally-round-the-family-rage-against-the-machine-tribute-w-apostles-of-fire-black-sabbath-cervantes-other-side-2026-02-06,viewed,2026-01-17 03:41:41.530408+00,Amnesiacs (Radiohead Tribute) & Rally ‘Round The Family (Rage Against The Machine Tribute) w/ Apostles of Fire (Black Sabbath)
995,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:41:41.529866+00,Chick Magnet & Nostaljazz & Slippery When Wet
996,kitchen-dwellers-w-silas-herman-the-tone-unit-friday-1-23-cervantes-masterpiece-ballroom-2026-01-23,viewed,2026-01-17 03:41:41.530507+00,Kitchen Dwellers w/ Silas Herman & The Tone Unit **FRIDAY 1/23**
997,wake-up-and-live-a-bob-marley-tribute-w-a-mac-the-height-dj-selekta-razja-cervantes-other-side-2026-02-05,viewed,2026-01-17 03:42:32.554718+00,"Wake Up and Live – A Bob Marley Tribute w/ A-Mac & the Height, DJ Selekta Razja"
998,flamingosis-w-blockhead-pure-colors-little-mac-cervantes-masterpiece-ballroom-2026-01-31,viewed,2026-01-17 03:42:32.557353+00,"Flamingosis w/ Blockhead, Pure Colors, Little Mac"
999,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:42:32.568181+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
1000,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 03:45:40.0323+00,Chick Magnet & Nostaljazz & Slippery When Wet
1001,sts9-cervantes-masterpiece-ballroom-2026-01-25,viewed,2026-01-17 03:45:40.033217+00,STS9
1002,tripp-st-w-rsun-rendr-vyhara-dizzy-cervantes-masterpiece-ballroom-2026-01-24,viewed,2026-01-17 03:45:40.057187+00,"Tripp St. w/ rSUN, Rendr, Vyhara, Dizzy!"
1003,matteo-mancuso-cervantes-other-side-2026-02-04,viewed,2026-01-17 03:46:32.667667+00,Matteo Mancuso
1004,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-17 03:46:32.673878+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
1005,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-17 03:46:32.675071+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
